filename,dairy,egg,fleshy fruit,fungi,grain/grass,honey,insect,invertebrate,legume,meat,poultry,reptile,seafood,seaweed,vegetable/herb
ADNI_Go2_P01_A01.mzXML,371,43,1842,35,379,32,0,24,131,419,64,0,326,36,757
ADNI_Go2_P01_A02.mzXML,599,49,1758,37,351,31,0,25,142,525,66,0,354,33,732
ADNI_Go2_P01_A03.mzXML,534,46,1824,36,375,36,0,0,171,451,60,0,331,0,875
ADNI_Go2_P01_A04.mzXML,562,51,1967,48,418,32,0,33,214,560,68,0,386,33,892
ADNI_Go2_P01_A05.mzXML,694,50,2067,46,411,30,0,32,193,697,81,0,420,33,807
ADNI_Go2_P01_A06.mzXML,761,40,1790,41,333,33,0,33,172,584,66,0,369,0,741
ADNI_Go2_P01_A07.mzXML,820,83,2263,59,518,41,26,41,231,765,88,28,635,42,1063
ADNI_Go2_P01_A08.mzXML,646,53,1807,44,398,32,0,31,200,587,65,0,414,28,876
ADNI_Go2_P01_A09.mzXML,577,49,1841,43,373,33,0,29,193,540,69,0,367,32,771
ADNI_Go2_P01_A10.mzXML,821,52,2074,50,447,37,0,0,177,673,79,0,412,34,884
ADNI_Go2_P01_A11.mzXML,654,43,1870,37,391,38,0,0,144,511,74,0,320,37,785
ADNI_Go2_P01_A12.mzXML,761,50,1932,45,403,34,0,31,200,672,77,0,406,37,813
ADNI_Go2_P01_B01.mzXML,364,35,1619,25,283,28,0,0,92,349,49,0,251,31,574
ADNI_Go2_P01_B02.mzXML,709,39,1578,33,318,33,0,0,144,526,66,0,336,31,691
ADNI_Go2_P01_B03.mzXML,488,36,1649,26,290,28,0,24,126,472,63,0,273,32,569
ADNI_Go2_P01_B04.mzXML,667,52,2065,40,406,40,0,0,200,539,69,0,375,0,935
ADNI_Go2_P01_B05.mzXML,795,67,2243,55,488,43,0,40,234,725,83,0,484,40,1064
ADNI_Go2_P01_B06.mzXML,673,50,1912,44,400,35,0,0,175,564,67,0,365,33,854
ADNI_Go2_P01_B07.mzXML,646,53,1920,42,403,39,0,0,198,536,70,0,398,0,923
ADNI_Go2_P01_B08.mzXML,721,49,1847,46,394,31,0,31,173,664,74,0,389,33,783
ADNI_Go2_P01_B09.mzXML,607,51,1619,39,376,27,0,29,184,574,62,0,376,31,728
ADNI_Go2_P01_B10.mzXML,748,53,1920,47,455,32,0,33,196,633,75,0,403,33,832
ADNI_Go2_P01_B11.mzXML,593,47,1817,37,377,30,0,26,156,573,71,0,358,31,733
ADNI_Go2_P01_B12.mzXML,598,43,1786,30,351,31,0,0,133,518,67,0,287,34,654
ADNI_Go2_P01_C01.mzXML,349,39,1672,28,309,29,0,0,100,364,53,0,265,37,633
ADNI_Go2_P01_C02.mzXML,617,55,2047,51,512,39,0,39,243,592,74,0,413,41,959
ADNI_Go2_P01_C03.mzXML,723,59,2232,49,466,46,0,39,217,720,83,0,454,41,903
ADNI_Go2_P01_C04.mzXML,537,54,1340,33,294,25,0,26,139,588,61,0,523,30,553
ADNI_Go2_P01_C05.mzXML,512,45,1894,43,399,34,0,32,168,503,71,0,363,37,783
ADNI_Go2_P01_C06.mzXML,603,43,1822,0,348,0,0,0,130,513,65,0,290,35,673
ADNI_Go2_P01_C07.mzXML,914,65,2399,48,500,49,0,38,236,731,79,0,501,37,1034
ADNI_Go2_P01_C08.mzXML,709,60,2208,47,501,42,0,0,235,657,75,0,417,38,994
ADNI_Go2_P01_C09.mzXML,659,45,1859,40,389,31,0,0,168,523,68,0,348,29,823
ADNI_Go2_P01_C10.mzXML,626,56,1945,38,412,31,0,30,193,576,73,0,492,34,815
ADNI_Go2_P01_C11.mzXML,771,74,2409,57,553,46,0,41,231,670,80,0,486,42,1164
ADNI_Go2_P01_C12.mzXML,792,50,1986,48,421,38,0,0,180,668,77,0,416,34,896
ADNI_Go2_P01_D01.mzXML,455,52,1917,42,441,39,0,0,153,476,73,0,371,42,895
ADNI_Go2_P01_D02.mzXML,808,54,2008,46,417,37,0,0,175,660,75,0,427,33,906
ADNI_Go2_P01_D03.mzXML,656,55,1913,44,463,34,0,29,175,579,67,0,362,33,883
ADNI_Go2_P01_D04.mzXML,615,50,1809,0,401,0,0,0,161,518,65,0,318,0,780
ADNI_Go2_P01_D05.mzXML,624,42,1818,38,364,0,0,0,130,519,69,0,326,0,736
ADNI_Go2_P01_D06.mzXML,574,35,1397,28,263,28,0,0,91,451,55,0,271,0,614
ADNI_Go2_P01_D07.mzXML,675,40,1722,0,347,0,0,0,183,539,66,0,337,0,740
ADNI_Go2_P01_D08.mzXML,663,47,1835,39,356,31,0,0,145,550,67,0,361,32,727
ADNI_Go2_P01_D09.mzXML,707,56,2001,44,499,38,0,0,212,580,67,0,391,0,945
ADNI_Go2_P01_D10.mzXML,651,49,2127,46,450,37,0,0,170,582,74,0,355,39,900
ADNI_Go2_P01_D11.mzXML,684,52,1965,44,408,36,0,0,156,642,76,0,379,41,822
ADNI_Go2_P01_D12.mzXML,777,64,2462,56,521,48,26,39,229,716,87,0,501,41,1066
ADNI_Go2_P01_E01.mzXML,391,43,1897,38,395,33,0,25,145,433,62,0,322,35,774
ADNI_Go2_P01_E02.mzXML,661,40,1550,33,305,30,0,0,125,515,68,0,314,30,652
ADNI_Go2_P01_E03.mzXML,500,37,1533,29,335,29,0,0,126,449,60,0,286,32,597
ADNI_Go2_P01_E04.mzXML,776,51,1924,42,401,38,0,28,172,612,73,0,383,29,825
ADNI_Go2_P01_E05.mzXML,725,59,2129,42,437,44,0,0,189,545,69,0,391,0,1008
ADNI_Go2_P01_E06.mzXML,663,43,1966,49,418,35,0,34,171,597,76,0,407,35,806
ADNI_Go2_P01_E07.mzXML,638,49,1819,39,389,31,0,28,181,564,71,0,372,33,757
ADNI_Go2_P01_E08.mzXML,487,34,1394,27,278,21,0,22,114,473,58,0,281,27,508
ADNI_Go2_P01_E09.mzXML,580,42,1648,37,376,0,0,0,178,564,63,0,342,32,728
ADNI_Go2_P01_E10.mzXML,760,63,2088,46,479,40,0,33,179,582,70,0,383,34,982
ADNI_Go2_P01_E11.mzXML,694,56,1950,45,470,36,0,0,193,574,70,0,387,35,915
ADNI_Go2_P01_E12.mzXML,639,49,1794,35,357,37,0,31,147,520,65,0,313,34,772
ADNI_Go2_P01_F01.mzXML,409,48,1977,38,420,36,0,27,150,470,68,0,347,40,813
ADNI_Go2_P01_F02.mzXML,616,48,2090,37,408,36,0,0,168,559,76,0,354,34,800
ADNI_Go2_P01_F03.mzXML,724,48,1914,42,388,31,0,28,163,616,79,0,379,33,739
ADNI_Go2_P01_F04.mzXML,693,50,1818,47,434,35,0,32,196,603,80,0,393,38,874
ADNI_Go2_P01_F05.mzXML,647,55,2191,44,465,34,0,35,207,650,79,0,411,36,864
ADNI_Go2_P01_F06.mzXML,869,67,2185,53,525,40,0,38,253,717,84,0,458,39,1033
ADNI_Go2_P01_F07.mzXML,650,62,2398,57,564,40,0,40,246,647,78,0,464,40,1070
ADNI_Go2_P01_F08.mzXML,494,39,1679,0,319,30,0,0,144,450,65,0,284,32,613
ADNI_Go2_P01_F09.mzXML,558,40,1698,31,313,33,0,0,139,472,59,0,291,32,689
ADNI_Go2_P01_F10.mzXML,778,61,2236,54,475,41,0,41,205,698,86,0,432,45,960
ADNI_Go2_P01_F11.mzXML,581,36,1453,33,298,0,0,0,107,497,61,0,302,29,632
ADNI_Go2_P01_F12.mzXML,548,39,1774,33,381,27,0,24,126,475,63,0,297,32,653
ADNI_Go2_P01_G01.mzXML,393,46,1825,40,421,32,0,27,152,453,69,0,352,38,792
ADNI_Go2_P01_G02.mzXML,686,48,1833,41,364,32,0,26,156,582,75,0,367,33,742
ADNI_Go2_P01_G03.mzXML,761,56,2209,55,508,39,31,36,228,724,89,0,468,39,988
ADNI_Go2_P01_G04.mzXML,741,61,2299,49,509,39,0,36,216,649,86,0,415,41,987
ADNI_Go2_P01_G05.mzXML,753,59,2293,56,534,41,0,37,258,699,86,0,488,38,1035
ADNI_Go2_P01_G06.mzXML,679,48,1984,43,423,36,0,0,198,544,66,0,376,0,907
ADNI_Go2_P01_G07.mzXML,599,48,2032,42,414,40,0,0,179,552,73,0,364,38,889
ADNI_Go2_P01_G08.mzXML,578,38,1562,31,318,29,0,0,94,465,60,0,276,31,638
ADNI_Go2_P01_G09.mzXML,679,38,1558,36,319,30,0,0,111,508,63,0,299,31,632
ADNI_Go2_P01_G10.mzXML,658,46,1947,45,415,39,0,30,163,613,79,0,384,38,787
ADNI_Go2_P01_G11.mzXML,808,52,1958,45,383,38,0,0,169,645,77,0,417,36,862
ADNI_Go2_P01_G12.mzXML,710,41,1902,38,355,32,0,0,98,543,73,0,324,31,711
ADNI_Go2_P01_H01.mzXML,361,35,1594,24,288,28,0,0,84,351,54,0,253,31,556
ADNI_Go2_P01_H02.mzXML,812,61,1967,40,410,42,0,29,154,582,66,0,396,29,957
ADNI_Go2_P01_H03.mzXML,748,51,2013,42,390,35,0,0,164,618,73,0,376,32,832
ADNI_Go2_P01_H04.mzXML,958,75,2505,63,540,57,0,43,232,766,89,0,514,41,1302
ADNI_Go2_P01_H05.mzXML,290,31,1186,0,238,25,0,0,66,277,38,0,213,25,578
ADNI_Go2_P01_H06.mzXML,649,33,1556,36,298,28,0,0,105,494,61,0,293,0,635
ADNI_Go2_P01_H07.mzXML,602,41,1771,36,352,36,0,0,164,502,62,0,340,33,741
ADNI_Go2_P01_H08.mzXML,659,55,2102,39,394,42,0,0,155,533,65,0,364,33,905
ADNI_Go2_P01_H09.mzXML,624,47,1970,47,414,35,0,35,206,600,82,0,398,38,813
ADNI_Go2_P01_H10.mzXML,463,44,1636,0,308,33,0,0,108,360,52,0,253,29,692
ADNI_Go2_P01_H11.mzXML,641,44,1521,35,320,32,0,27,118,519,66,0,315,30,684
ADNI_Go2_P01_H12.mzXML,636,57,2159,42,434,44,0,31,153,577,71,0,411,35,878
Blank_Inj_P01_01.mzXML,748,0,1755,0,434,0,0,0,142,382,60,0,299,0,989
Blank_Inj_P01_02.mzXML,387,33,1285,0,282,0,0,0,73,302,47,0,235,0,667
Blank_Inj_P01_03.mzXML,372,34,1303,0,267,31,0,0,71,298,43,0,233,0,665
Blank_Inj_P01_04.mzXML,297,32,1148,0,249,25,0,0,69,280,41,0,221,26,578
Blank_Inj_P01_05.mzXML,295,34,1253,0,245,28,0,0,68,292,41,0,231,27,604
Blank_Inj_P01_06.mzXML,345,35,1386,0,276,0,0,0,83,311,47,0,250,0,676
Blank_Inj_P01_07.mzXML,290,35,1212,0,243,26,0,0,70,282,44,0,215,26,597
Blank_Inj_P01_08.mzXML,185,24,996,16,198,16,0,0,58,246,29,0,172,22,408
Blank_Inj_P01_09.mzXML,290,31,1174,0,239,25,0,0,66,275,38,0,213,25,577
Blank_Inj_P01_10.mzXML,269,31,1164,0,239,23,0,0,68,274,39,0,207,25,556
Blank_Inj_P01_11.mzXML,261,32,1234,0,247,0,0,0,69,289,41,0,220,27,569
Blank_Inj_P01_12.mzXML,262,31,1129,0,233,23,0,0,65,272,38,0,207,25,547
Blank_Inj_P01_13.mzXML,281,33,1234,0,249,27,0,0,72,286,41,0,211,0,584
Blank_Inj_P01_14.mzXML,289,31,1224,0,245,0,0,0,66,283,39,0,219,0,588
Blank_Inj_P01_15.mzXML,267,33,1195,0,238,24,0,0,61,285,41,0,212,26,555
Blank_Inj_P01_16.mzXML,286,31,1189,0,238,25,0,0,66,275,38,0,217,25,571
Blank_Inj_P01_17.mzXML,271,34,1173,0,239,26,0,0,68,289,41,0,233,27,566
Blank_Inj_P01_18.mzXML,202,29,1073,18,214,19,0,0,62,268,37,0,211,25,446
Blank_Inj_P01_19.mzXML,265,31,1162,0,234,23,0,0,66,275,38,0,226,25,553
QC_Mix_P01_01_Start.mzXML,711,0,2245,57,523,0,0,0,193,436,69,0,396,0,1176
QC_Mix_P01_02_Middle.mzXML,483,48,2006,47,462,43,0,0,172,422,67,0,350,44,997
QC_Mix_P01_03_End.mzXML,527,44,2203,47,462,38,0,0,188,416,63,0,353,43,944
ADNI_Go2_P02_A01.mzXML,430,0,1273,0,272,0,0,0,74,296,43,0,247,0,700
ADNI_Go2_P02_A02.mzXML,861,39,1876,42,354,39,0,0,148,581,73,0,353,0,763
ADNI_Go2_P02_A03.mzXML,978,58,2191,62,511,55,0,0,231,675,88,0,476,0,1186
ADNI_Go2_P02_A04.mzXML,610,38,1587,0,297,0,0,0,113,492,60,0,306,0,668
ADNI_Go2_P02_A05.mzXML,701,50,2025,45,430,41,0,0,207,581,78,0,402,39,934
ADNI_Go2_P02_A06.mzXML,834,57,2100,54,494,46,0,0,209,635,83,0,428,0,1037
ADNI_Go2_P02_A07.mzXML,591,39,1675,0,313,34,0,0,139,442,58,0,303,0,695
ADNI_Go2_P02_A08.mzXML,856,0,1873,0,366,42,0,0,166,567,73,0,362,0,832
ADNI_Go2_P02_A09.mzXML,843,45,2174,51,449,46,0,0,182,613,77,0,395,0,989
ADNI_Go2_P02_A10.mzXML,834,56,2085,50,454,41,0,0,199,651,78,0,400,33,950
ADNI_Go2_P02_A11.mzXML,748,47,1847,38,387,39,0,0,178,555,72,0,364,0,787
ADNI_Go2_P02_A12.mzXML,760,50,1984,46,423,42,0,0,164,570,83,0,418,39,924
ADNI_Go2_P02_B01.mzXML,471,42,1756,0,321,38,0,0,114,374,57,0,288,0,734
ADNI_Go2_P02_B02.mzXML,798,52,1994,42,415,0,0,0,179,581,70,0,352,0,854
ADNI_Go2_P02_B03.mzXML,759,40,1787,39,355,39,0,0,140,518,79,0,327,0,796
ADNI_Go2_P02_B04.mzXML,647,51,2073,47,441,44,0,0,203,554,76,0,398,0,1005
ADNI_Go2_P02_B05.mzXML,852,48,2018,0,387,0,0,0,189,651,77,0,400,0,903
ADNI_Go2_P02_B06.mzXML,682,0,1826,0,344,0,0,0,132,467,69,0,314,0,796
ADNI_Go2_P02_B07.mzXML,708,40,1735,37,322,37,0,0,141,519,63,0,348,32,728
ADNI_Go2_P02_B08.mzXML,855,51,1990,47,399,40,0,0,174,590,71,0,387,0,945
ADNI_Go2_P02_B09.mzXML,698,0,1658,0,341,0,0,0,130,450,58,0,298,0,817
ADNI_Go2_P02_B10.mzXML,542,34,1342,28,270,29,0,0,129,467,59,0,287,29,579
ADNI_Go2_P02_B11.mzXML,797,40,1816,0,352,37,0,0,151,558,70,0,349,0,736
ADNI_Go2_P02_B12.mzXML,808,0,1751,0,338,0,0,0,146,510,66,0,326,0,792
ADNI_Go2_P02_C01.mzXML,523,42,1798,0,355,0,0,0,116,381,61,0,299,0,822
ADNI_Go2_P02_C02.mzXML,670,44,1930,0,344,0,0,0,133,480,61,0,311,0,800
ADNI_Go2_P02_C03.mzXML,764,52,2017,50,421,44,0,0,210,579,77,0,409,38,940
ADNI_Go2_P02_C04.mzXML,699,40,1633,0,328,36,0,0,129,487,66,0,315,0,715
ADNI_Go2_P02_C05.mzXML,749,46,1969,39,404,38,0,0,195,622,72,0,385,35,804
ADNI_Go2_P02_C06.mzXML,760,43,1871,37,349,0,0,0,163,566,71,0,319,0,772
ADNI_Go2_P02_C07.mzXML,806,47,2110,0,373,44,0,0,164,576,73,0,362,0,846
ADNI_Go2_P02_C08.mzXML,564,38,1572,0,294,33,0,0,126,424,55,0,269,0,664
ADNI_Go2_P02_C09.mzXML,637,35,1551,33,300,37,0,0,114,478,61,0,291,0,711
ADNI_Go2_P02_C10.mzXML,888,65,2455,56,515,47,0,0,231,686,88,0,477,0,1169
ADNI_Go2_P02_C11.mzXML,738,40,1858,36,337,40,0,0,131,528,74,0,326,0,747
ADNI_Go2_P02_C12.mzXML,750,40,1758,0,318,38,0,0,122,488,63,0,322,0,716
ADNI_Go2_P02_D01.mzXML,559,0,1889,0,346,0,0,0,108,377,60,0,272,0,802
ADNI_Go2_P02_D02.mzXML,803,56,2241,57,508,50,0,0,221,642,81,0,447,0,1068
ADNI_Go2_P02_D03.mzXML,693,48,1973,46,403,38,0,0,179,565,75,0,382,38,882
ADNI_Go2_P02_D04.mzXML,672,39,1702,36,300,0,0,0,103,493,63,0,304,0,674
ADNI_Go2_P02_D05.mzXML,740,42,1781,38,367,35,0,0,158,514,62,0,327,0,744
ADNI_Go2_P02_D06.mzXML,712,40,1581,38,306,34,0,0,120,528,63,0,321,0,693
ADNI_Go2_P02_D07.mzXML,608,47,2017,43,396,36,0,29,164,574,79,0,378,40,774
ADNI_Go2_P02_D08.mzXML,703,34,1639,36,313,31,0,0,108,529,67,0,301,29,638
ADNI_Go2_P02_D09.mzXML,595,40,1814,0,345,37,0,0,163,513,64,0,315,0,759
ADNI_Go2_P02_D10.mzXML,806,40,1833,39,351,39,0,0,125,560,73,0,348,0,788
ADNI_Go2_P02_D11.mzXML,766,57,2194,48,450,46,0,0,177,607,83,0,407,40,989
ADNI_Go2_P02_D12.mzXML,598,42,1665,36,340,33,0,0,153,509,57,0,327,32,734
ADNI_Go2_P02_E01.mzXML,401,32,1476,0,258,28,0,0,80,300,41,0,216,0,606
ADNI_Go2_P02_E02.mzXML,743,41,1804,37,343,40,0,0,144,527,72,0,346,0,764
ADNI_Go2_P02_E03.mzXML,759,0,1679,0,353,0,0,0,123,505,71,0,323,0,782
ADNI_Go2_P02_E04.mzXML,626,50,1979,0,398,38,0,0,147,518,70,0,313,36,810
ADNI_Go2_P02_E05.mzXML,638,58,2274,43,457,50,0,34,205,598,83,0,394,41,994
ADNI_Go2_P02_E06.mzXML,649,41,1777,0,336,40,0,0,123,440,65,0,294,0,775
ADNI_Go2_P02_E07.mzXML,696,41,1723,36,331,37,0,0,130,506,67,0,330,0,728
ADNI_Go2_P02_E08.mzXML,633,46,1713,41,357,36,0,0,120,556,68,0,367,34,824
ADNI_Go2_P02_E09.mzXML,616,43,1816,0,323,0,0,0,123,466,58,0,295,0,733
ADNI_Go2_P02_E10.mzXML,678,39,1569,0,291,0,0,0,118,496,55,0,300,0,709
ADNI_Go2_P02_E11.mzXML,781,50,2000,42,387,36,0,0,163,608,80,0,399,33,844
ADNI_Go2_P02_E12.mzXML,705,42,1738,38,334,36,0,0,141,555,69,0,346,0,741
ADNI_Go2_P02_F01.mzXML,487,41,1700,0,325,38,0,0,103,372,62,0,275,0,722
ADNI_Go2_P02_F02.mzXML,441,36,1388,0,274,0,0,0,121,394,52,0,277,0,656
ADNI_Go2_P02_F03.mzXML,773,52,2092,45,411,39,0,0,161,631,74,0,383,40,909
ADNI_Go2_P02_F04.mzXML,746,47,1934,38,355,39,0,0,138,532,69,0,342,35,809
ADNI_Go2_P02_F05.mzXML,702,48,2035,46,412,40,0,0,162,573,79,0,382,38,892
ADNI_Go2_P02_F06.mzXML,675,38,1591,34,311,34,0,0,130,492,61,0,310,0,696
ADNI_Go2_P02_F07.mzXML,710,33,1502,34,282,33,0,0,106,445,54,0,281,0,646
ADNI_Go2_P02_F08.mzXML,695,40,1732,35,307,35,0,0,116,520,63,0,320,33,695
ADNI_Go2_P02_F09.mzXML,623,47,1867,44,394,41,0,0,191,555,68,0,396,36,896
ADNI_Go2_P02_F10.mzXML,835,58,2274,51,466,47,0,0,230,649,85,0,426,0,1042
ADNI_Go2_P02_F11.mzXML,815,0,1955,0,356,0,0,0,155,569,70,0,344,0,871
ADNI_Go2_P02_F12.mzXML,703,48,2013,46,407,41,0,0,155,571,78,0,391,39,884
ADNI_Go2_P02_G01.mzXML,444,50,1901,35,397,39,0,0,132,419,67,0,343,36,872
ADNI_Go2_P02_G02.mzXML,784,56,2015,46,439,37,0,0,199,602,74,0,410,33,905
ADNI_Go2_P02_G03.mzXML,814,47,2089,0,368,0,0,0,148,579,76,0,353,0,834
ADNI_Go2_P02_G04.mzXML,702,49,2140,47,421,40,0,0,154,583,80,0,393,41,927
ADNI_Go2_P02_G05.mzXML,710,50,2069,47,437,41,0,0,179,590,84,0,399,38,913
ADNI_Go2_P02_G06.mzXML,679,38,1704,34,307,35,0,0,127,500,65,0,306,32,680
ADNI_Go2_P02_G07.mzXML,678,50,2124,46,424,40,0,0,173,584,84,0,396,40,894
ADNI_Go2_P02_G08.mzXML,762,49,1911,0,391,0,0,0,170,566,65,0,337,0,805
ADNI_Go2_P02_G09.mzXML,594,41,1576,35,355,0,0,0,137,482,57,0,324,0,720
ADNI_Go2_P02_G10.mzXML,777,51,2126,50,450,46,0,0,209,620,77,0,426,0,1030
ADNI_Go2_P02_G11.mzXML,436,39,1792,0,333,37,0,0,142,407,58,0,296,0,719
ADNI_Go2_P02_G12.mzXML,574,38,1614,0,317,31,0,0,124,496,65,0,321,31,718
ADNI_Go2_P02_H01.mzXML,373,39,1639,29,314,31,0,0,103,355,54,0,272,39,660
ADNI_Go2_P02_H02.mzXML,292,34,1210,0,242,27,0,0,67,289,41,0,216,27,594
ADNI_Go2_P02_H03.mzXML,719,59,2108,53,454,44,0,40,239,649,82,0,492,41,949
ADNI_Go2_P02_H04.mzXML,519,43,1686,38,371,34,0,0,144,437,62,0,303,32,785
ADNI_Go2_P02_H05.mzXML,549,40,1537,0,330,0,0,0,119,457,69,0,282,0,669
ADNI_Go2_P02_H06.mzXML,647,41,1765,33,310,30,0,0,111,539,68,0,309,34,619
ADNI_Go2_P02_H07.mzXML,569,41,1788,0,321,37,0,0,130,447,60,0,301,0,716
ADNI_Go2_P02_H08.mzXML,713,46,1618,35,314,35,0,0,108,506,66,0,301,32,705
ADNI_Go2_P02_H09.mzXML,577,40,1724,0,314,0,0,0,91,439,63,0,285,0,737
ADNI_Go2_P02_H10.mzXML,557,39,1779,0,324,35,0,0,104,448,63,0,309,0,703
ADNI_Go2_P02_H11.mzXML,649,43,1938,38,406,0,0,0,136,466,67,0,307,0,835
ADNI_Go2_P02_H12.mzXML,707,55,2197,49,479,41,0,0,200,595,78,0,414,41,962
Blank_Inj_P02_01.mzXML,559,0,1513,0,403,0,0,0,144,352,61,0,275,0,830
Blank_Inj_P02_02.mzXML,520,0,1339,0,301,0,0,0,82,315,0,0,263,0,859
Blank_Inj_P02_03.mzXML,431,36,1434,0,292,36,0,0,89,309,47,0,262,0,725
Blank_Inj_P02_04.mzXML,492,38,1479,0,317,0,0,0,91,337,52,0,270,0,738
Blank_Inj_P02_05.mzXML,475,40,1566,0,304,37,0,0,100,341,53,0,275,0,694
Blank_Inj_P02_06.mzXML,433,0,1403,0,292,0,0,0,89,308,46,0,259,0,734
Blank_Inj_P02_07.mzXML,427,0,1265,0,282,0,0,0,80,290,45,0,235,0,709
Blank_Inj_P02_08.mzXML,336,32,1135,0,244,0,0,0,64,275,40,0,212,0,596
Blank_Inj_P02_09.mzXML,337,35,1249,0,247,31,0,0,69,288,42,0,219,0,608
Blank_Inj_P02_10.mzXML,268,34,1209,0,237,25,0,0,66,287,41,0,213,28,563
Blank_Inj_P02_11.mzXML,342,35,1260,0,240,30,0,0,70,279,41,0,233,0,612
Blank_Inj_P02_12.mzXML,295,35,1331,0,264,29,0,0,77,305,44,0,234,0,625
Blank_Inj_P02_13.mzXML,346,36,1249,0,265,32,0,0,79,298,45,0,228,0,637
Blank_Inj_P02_14.mzXML,343,35,1254,0,252,31,0,0,72,290,43,0,219,0,616
Blank_Inj_P02_15.mzXML,290,34,1132,0,241,27,0,0,60,289,41,0,214,26,581
Blank_Inj_P02_16.mzXML,293,34,1266,0,249,27,0,0,71,291,42,0,219,28,601
Blank_Inj_P02_17.mzXML,353,34,1431,0,264,0,0,0,83,290,45,0,230,0,661
Blank_Inj_P02_18.mzXML,234,34,1220,0,243,26,0,0,76,297,46,0,233,29,527
Blank_Inj_P02_19.mzXML,292,34,1224,0,236,27,0,0,68,277,40,0,223,27,582
QC_Mix_P02_01_Start.mzXML,532,0,1965,0,449,0,0,0,144,408,64,0,364,0,1082
QC_Mix_P02_02_Middle.mzXML,565,52,2116,48,446,45,0,0,145,454,70,0,374,44,1033
QC_Mix_P02_03_End.mzXML,476,50,1941,47,427,0,0,0,141,401,64,0,347,0,1026
